date,company,symbol,open,close
2025-11-18,Saudi Aramco,2222.SR,25.4,25.84
2025-11-18,Apple,AAPL,269.99,267.44
2025-11-18,Amazon,AMZN,228.1,222.55
2025-11-18,Broadcom,AVGO,343.2,340.5
2025-11-18,Alphabet (Google),GOOGL,287.92,284.28
2025-11-18,JPMorgan Chase,JPM,299.5,299.41
2025-11-18,Eli Lilly,LLY,1014.01,1030.05
2025-11-18,Meta Platforms,META,591.6,597.69
2025-11-18,Microsoft,MSFT,494.44,492.87
2025-11-18,NVIDIA,NVDA,183.38,181.36
2025-11-18,Tencent,TCEHY,79.97,80.16
2025-11-18,Tesla,TSLA,405.38,401.25
2025-11-18,TSMC,TSM,277.55,277.91
2025-11-18,Walmart,WMT,102.98,101.39
2025-11-19,Saudi Aramco,2222.SR,25.84,25.9
2025-11-19,Apple,AAPL,265.53,268.56
2025-11-19,Amazon,AMZN,223.74,222.69
2025-11-19,Broadcom,AVGO,340.71,354.42
2025-11-19,Alphabet (Google),GOOGL,287.16,292.81
2025-11-19,JPMorgan Chase,JPM,299.74,303.27
2025-11-19,Eli Lilly,LLY,1029.64,1049.6
2025-11-19,Meta Platforms,META,593.72,590.32
2025-11-19,Microsoft,MSFT,489.18,486.21
2025-11-19,NVIDIA,NVDA,184.79,186.52
2025-11-19,Tencent,TCEHY,79.66,79.55
2025-11-19,Tesla,TSLA,406.18,403.99
2025-11-19,TSMC,TSM,276.92,282.37
2025-11-19,Walmart,WMT,101.58,100.61
2025-11-20,Saudi Aramco,2222.SR,25.86,25.78
2025-11-20,Apple,AAPL,270.83,266.25
2025-11-20,Amazon,AMZN,227.05,217.14
2025-11-20,Broadcom,AVGO,366.0,346.82
2025-11-20,Alphabet (Google),GOOGL,304.54,289.45
2025-11-20,JPMorgan Chase,JPM,306.34,298.38
2025-11-20,Eli Lilly,LLY,1045.5,1043.29
2025-11-20,Meta Platforms,META,603.5,589.15
2025-11-20,Microsoft,MSFT,492.71,478.43
2025-11-20,NVIDIA,NVDA,195.95,180.64
2025-11-20,Tencent,TCEHY,79.87,77.83
2025-11-20,Tesla,TSLA,414.63,395.23
2025-11-20,TSMC,TSM,292.21,277.5
2025-11-20,Walmart,WMT,103.94,107.11
2025-11-21,Apple,AAPL,265.95,271.49
2025-11-21,Amazon,AMZN,216.35,220.69
2025-11-21,Broadcom,AVGO,345.16,340.2
2025-11-21,Alphabet (Google),GOOGL,296.42,299.66
2025-11-21,JPMorgan Chase,JPM,301.29,298.02
2025-11-21,Eli Lilly,LLY,1041.0,1059.7
2025-11-21,Meta Platforms,META,588.5,594.25
2025-11-21,Microsoft,MSFT,478.5,472.12
2025-11-21,NVIDIA,NVDA,181.24,178.88
2025-11-21,Tencent,TCEHY,78.09,79.04
2025-11-21,Tesla,TSLA,402.32,391.09
2025-11-21,TSMC,TSM,272.81,275.06
2025-11-21,Walmart,WMT,107.98,105.32
2025-11-23,Saudi Aramco,2222.SR,25.7,25.6
2025-11-24,Saudi Aramco,2222.SR,25.58,25.24
2025-11-24,Apple,AAPL,270.9,275.92
2025-11-24,Amazon,AMZN,222.56,226.28
2025-11-24,Broadcom,AVGO,347.73,377.96
2025-11-24,Alphabet (Google),GOOGL,311.13,318.58
2025-11-24,JPMorgan Chase,JPM,298.24,298.0
2025-11-24,Eli Lilly,LLY,1056.77,1070.16
2025-11-24,Meta Platforms,META,598.72,613.05
2025-11-24,Microsoft,MSFT,475.0,474.0
2025-11-24,NVIDIA,NVDA,179.49,182.55
2025-11-24,Tencent,TCEHY,80.0,80.83
2025-11-24,Tesla,TSLA,402.17,417.78
2025-11-24,TSMC,TSM,273.19,284.64
2025-11-24,Walmart,WMT,105.36,104.06
