date,company,symbol,title,source,published,url,sentiment_score,recommendation
2025-11-24,NVIDIA,NVDA,Symbotic  ( SYM )  Q4 2025 Earnings Call Transcript,Motley Fool,2025-11-24T23:04:52Z,https://www.fool.com/earnings/call-transcripts/2025/11/24/symbotic-sym-q4-2025-earnings-call-transcript/,-0.4404,Sell
2025-11-24,NVIDIA,NVDA,$100 Invested In NVIDIA 5 Years Ago Would Be Worth This Much Today - NVIDIA  ( NASDAQ:NVDA ),Benzinga,2025-11-24T23:00:27Z,https://www.benzinga.com/insights/news/25/11/49047044/100-invested-in-nvidia-5-years-ago-would-be-worth-this-much-today,0.2263,Buy
2025-11-24,NVIDIA,NVDA,Keysight  ( KEYS )  Q4 2025 Earnings Call Transcript,Motley Fool,2025-11-24T22:50:01Z,https://www.fool.com/earnings/call-transcripts/2025/11/24/keysight-keys-q4-2025-earnings-call-transcript/,-0.4404,Sell
2025-11-24,NVIDIA,NVDA,Mining economics tighten as record hashrate meets falling Bitcoin price: Report,Cointelegraph,2025-11-24T22:14:36Z,https://cointelegraph.com/news/mining-economics-hashrate-bitcoin-price-report,-0.4215,Sell
2025-11-24,NVIDIA,NVDA,"Billionaire Peter Thiel Just Sold Nvidia and Tesla for These Other Two ""Magnificent Seven"" Stocks",Motley Fool,2025-11-24T22:00:00Z,https://www.fool.com/investing/2025/11/24/billionaire-peter-thiel-just-sold-nvidia-and-tesla/,0.5994,Buy
2025-11-24,NVIDIA,NVDA,"'Reason People Don't Have Kids Earlier Is They're Expensive,' Says Kevin O'Leary, But 'Elon Musk Is Making Up For The Rest Of Us' With 14 Kids - Tesla  ( NASDAQ:TSLA )",Benzinga,2025-11-24T21:31:18Z,https://www.benzinga.com/news/topics/25/11/49045443/reason-people-dont-have-kids-earlier-is-theyre-expensive-says-kevin-oleary-but-elon-musk-is-making-up,0.0,Hold
2025-11-24,NVIDIA,NVDA,Buffett Loves Japan. Should You?,Zacks Commentary,2025-11-24T21:25:00Z,https://www.zacks.com/stock/news/2795047/buffett-loves-japan-should-you,0.6868,Buy
2025-11-24,NVIDIA,NVDA,Options Corner: A Sentiment Reversal Could Awaken Tech Sleeper Hewlett Packard Enterprise - Hewlett Packard  ( NYSE:HPE ),Benzinga,2025-11-24T20:57:56Z,https://www.benzinga.com/markets/options/25/11/49044081/hpe-stock-sentiment-reversal,-0.2263,Sell
2025-11-24,NVIDIA,NVDA,"Nvidia: There Was a Red Flag in Its Earnings Report, but Is the Stock Still a Buy?",Motley Fool,2025-11-24T20:20:00Z,https://www.fool.com/investing/2025/11/24/nvidia-there-was-a-red-flag-in-its-earnings-report/,0.0,Hold
2025-11-24,NVIDIA,NVDA,"Pure-Play vs Big Tech in Quantum: How IBM, NVDA, IONQ Stand at '25 End",Zacks Commentary,2025-11-24T20:00:00Z,https://www.zacks.com/stock/news/2795044/pure-play-vs-big-tech-in-quantum-how-ibm-nvda-ionq-stand-at-25-end,0.6369,Buy
2025-11-24,NVIDIA,NVDA,"Tesla AI Chip Shockwave Flips The Trade, Stalling TSLQ Breakout - NVIDIA  ( NASDAQ:NVDA ) , Tesla  ( NASDAQ:TSLA )",Benzinga,2025-11-24T19:47:51Z,https://www.benzinga.com/etfs/specialty-etfs/25/11/49042061/tesla-stock-etf-tslq-price-trend,0.4588,Buy
2025-11-24,NVIDIA,NVDA,Is CoreWeave a Millionaire-Maker Stock?,Motley Fool,2025-11-24T19:26:00Z,https://www.fool.com/investing/2025/11/24/is-coreweave-a-millionaire-maker-stock/,0.34,Buy
2025-11-24,NVIDIA,NVDA,Broadcom Rallies As Semiconductor Stocks Surge On Fed Rate Cut Hopes - Broadcom  ( NASDAQ:AVGO ),Benzinga,2025-11-24T19:07:34Z,https://www.benzinga.com/trading-ideas/movers/25/11/49040999/broadcom-rallies-as-semiconductor-stocks-surge-on-fed-rate-cut-hopes,0.836,Buy
2025-11-24,NVIDIA,NVDA,Broadcom is joining Alphabet in the AI rally. Why investors are jumping in,CNBC,2025-11-24T18:34:24Z,https://www.cnbc.com/2025/11/24/broadcom-is-joining-alphabet-in-the-ai-rally-why-investors-are-jumping-in.html,0.296,Buy
2025-11-24,NVIDIA,NVDA,Amazon Stock Is Moving Higher Monday: What's Going On? - Amazon.com  ( NASDAQ:AMZN ),Benzinga,2025-11-24T18:04:19Z,https://www.benzinga.com/markets/tech/25/11/49039033/amazon-plans-huge-ai-upgrade-to-transform-federal-intelligence-and-security,0.8555,Buy
2025-11-24,NVIDIA,NVDA,ANET Gains From Solid Revenue Growth: Will the Uptrend Continue?,Zacks Commentary,2025-11-24T17:41:00Z,https://www.zacks.com/stock/news/2795031/anet-gains-from-solid-revenue-growth-will-the-uptrend-continue,0.9081,Buy
2025-11-24,NVIDIA,NVDA,Warren Buffett Is Buying Artificial Intelligence  ( AI )  Stocks While Michael Burry Is Shorting Them -- Who's Right?,Motley Fool,2025-11-24T17:15:00Z,https://www.fool.com/investing/2025/11/24/warren-buffett-is-buying-artificial-intelligence-a/,0.4767,Buy
2025-11-24,NVIDIA,NVDA,Michael Burry Unchained: 'Big Short' Attacks Nvidia On Substack - NVIDIA  ( NASDAQ:NVDA ),Benzinga,2025-11-24T17:05:29Z,https://www.benzinga.com/markets/tech/25/11/49036800/michael-burry-unchained-big-short-attacks-nvidia-on-substack,-0.5279,Sell
2025-11-25,Apple,AAPL,"Apple And Taiwan Semiconductor On CNBC's 'Final Trades' - Apple  ( NASDAQ:AAPL ) , Taiwan Semiconductor  ( NYSE:TSM )",Benzinga,2025-11-25T12:44:26Z,https://www.benzinga.com/analyst-stock-ratings/analyst-color/25/11/49053195/apple-taiwan-semiconductor-manufacturing-and-more-on-cnbcs-final-trades,0.7269,Buy
2025-11-25,Apple,AAPL,Is iShares Paris-Aligned Climate MSCI USA ETF  ( PABU )  a Strong ETF Right Now?,Zacks Commentary,2025-11-25T11:20:03Z,https://www.zacks.com/stock/news/2795142/is-ishares-paris-aligned-climate-msci-usa-etf-pabu-a-strong-etf-right-now,0.7184,Buy
2025-11-25,Apple,AAPL,Interested in AI Stocks? You Might Consider Buying This Top AI ETF That's Returned 210% in 3 Years,Motley Fool,2025-11-25T11:00:00Z,https://www.fool.com/investing/2025/11/25/best-ai-etf-exchange-traded-fund-best-ai-stocks/,0.1027,Buy
2025-11-25,Apple,AAPL,What's Going On With Taiwan Semiconductor Stock Tuesday? - Taiwan Semiconductor  ( NYSE:TSM ),Benzinga,2025-11-25T10:55:51Z,https://www.benzinga.com/markets/tech/25/11/49051536/taiwan-semiconductor-doubles-down-on-2nm-chips-as-ai-frenzy-fuels-billion-dollar-buildout,0.2023,Buy
2025-11-25,Apple,AAPL,CEO Jensen Huang Just Delivered Fantastic News for Nvidia Investors,Motley Fool,2025-11-25T10:30:00Z,https://www.fool.com/investing/2025/11/25/ceo-jensen-huang-just-delivered-fantastic-news-for/,0.7351,Buy
2025-11-25,Apple,AAPL,"Spotify Plans First US Price Hike Since 2024 As Profit Pressure Mounts Despite Strong User Surge: Report - Netflix  ( NASDAQ:NFLX ) , Apple  ( NASDAQ:AAPL )",Benzinga,2025-11-25T03:30:59Z,https://www.benzinga.com/markets/tech/25/11/49048779/spotify-plans-first-us-price-hike-since-2024-as-profit-pressure-mounts-despite-strong-user-surge-rep,0.0767,Buy
2025-11-25,Apple,AAPL,Earnings Season: Breaking Down Financial Statements,Zacks Commentary,2025-11-25T01:35:00Z,https://www.zacks.com/stock/news/2795089/earnings-season-breaking-down-financial-statements,-0.2263,Sell
2025-11-24,Apple,AAPL,"Billionaire Peter Thiel Just Sold Nvidia and Tesla for These Other Two ""Magnificent Seven"" Stocks",Motley Fool,2025-11-24T22:00:00Z,https://www.fool.com/investing/2025/11/24/billionaire-peter-thiel-just-sold-nvidia-and-tesla/,0.5994,Buy
2025-11-24,Apple,AAPL,iPhone 17 Boosts Apple's China Sales: What's Ahead for the Stock?,Zacks Commentary,2025-11-24T16:53:00Z,https://www.zacks.com/stock/news/2794979/iphone-17-boosts-apples-china-sales-whats-ahead-for-the-stock,0.7351,Buy
2025-11-24,Apple,AAPL,"1 Vanguard ETF to Buy Now, 1 to Avoid",Motley Fool,2025-11-24T16:17:00Z,https://www.fool.com/investing/2025/11/24/1-vanguard-etf-to-buy-now-1-to-avoid/,-0.7227,Sell
2025-11-24,Apple,AAPL,"Evaluating Apple Against Peers In Technology Hardware, Storage & Peripherals Industry - Apple  ( NASDAQ:AAPL )",Benzinga,2025-11-24T15:00:52Z,https://www.benzinga.com/insights/news/25/11/49031230/evaluating-apple-against-peers-in-technology-hardware-storage-amp-peripherals-industry,0.5413,Buy
2025-11-24,Apple,AAPL,"Congressional Trading Report: Rep. Lisa McClain Sold Over $398K In Apple Stock - Agree Realty  ( NYSE:ADC ) , Apple  ( NASDAQ:AAPL )",Benzinga,2025-11-24T15:00:23Z,https://www.benzinga.com/insights/government/25/11/49031186/congressional-trading-report-rep-lisa-mcclain-sold-over-398k-in-apple-stock,0.765,Buy
2025-11-24,Apple,AAPL,Best Health & Fitness Stocks for Investors Betting on Wellness,Zacks Commentary,2025-11-24T14:11:00Z,https://www.zacks.com/stock/news/2794693/best-health-fitness-stocks-for-investors-betting-on-wellness,0.9217,Buy
2025-11-24,Apple,AAPL,"Ranking the Best ""Magnificent Seven"" Stocks to Buy for 2026. Here's My No. 6 Pick.",Motley Fool,2025-11-24T13:59:31Z,https://www.fool.com/investing/2025/11/24/buy-magnificent-seven-stocks-2026-apple/,0.6542,Buy
